,expected_timing_alpha_60d,regime_baseline_60d,expected_net_return_60d,raw_probability,probability_positive,forecast_percentile,expert,model_train_end,calibration_method,calibration_samples,calibration_brier,calibration_ece,price_to_ma200,ma50_to_ma200,drawdown_60d,momentum_20d,Breadth_Score_change_5d,Risk_Score_change_5d
2022-04-28,0.0,0.08378482295837548,0.08378482295837548,0.01,0.4556004905839532,0.0,risk_off,2022-03-03,oos_isotonic,1136.0,0.2381104844986118,0.06668072127029698,-0.10618253149870838,-0.06485719359750852,-0.11632865342266208,-0.10645883865381855,-0.4096881608773232,0.0
2022-04-29,0.0,0.08366268867042001,0.08366268867042001,0.01,0.4556004905839532,0.0,risk_off,2022-03-03,oos_isotonic,1136.0,0.2381104844986118,0.06668072127029698,-0.14586815728312486,-0.06658067027744063,-0.15609265823028418,-0.13595744651430341,-0.2731254405848822,0.0
2022-05-02,0.0,0.08350468250786305,0.08350468250786305,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.1311594131042828,-0.06754729133939497,-0.14200270262034653,-0.1198561320144107,-0.1820836270565881,0.0
2022-05-03,0.0,0.08338957072890578,0.08338957072890578,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.12982168330862764,-0.06832297535905918,-0.14108686057026487,-0.13669096609508158,-0.12138908470439211,0.0
2022-05-04,0.0,0.08327833581570503,0.08327833581570503,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.10005656524717454,-0.06840847017829221,-0.11204521372925735,-0.08723360594395568,-0.0809260564695947,0.0
2022-05-05,0.0,0.08319794166589305,0.08319794166589305,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.1448296314524553,-0.06868212130371965,-0.15676616087706774,-0.11396703787929852,-0.0539507043130631,0.0
2022-05-06,0.0,0.08307878998674453,0.08307878998674453,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.15445853991752667,-0.06968774783471521,-0.16686870057882064,-0.12665896213171812,-0.035967136208708804,0.0
2022-05-09,0.0,0.0829430681594441,0.0829430681594441,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.18676707051712838,-0.07143807392205592,-0.1994667689033387,-0.14893308094291402,-0.023978090805805798,0.0
2022-05-10,0.0,0.0827997225104803,0.0827997225104803,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.17613866449262516,-0.07309248125222867,-0.18974120160671615,-0.1177215833258195,-0.0159853938705372,0.0
2022-05-11,0.0,0.07988840891944962,0.07988840891944962,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.1997917107597833,-0.07488639489190685,-0.213771968497397,-0.14025628216957065,-0.0106569292470248,0.0
2022-05-12,0.0,0.07976440658986243,0.07976440658986243,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.20088002431628715,-0.07700942923460974,-0.2156309168355488,-0.15937658564995216,-0.0071046194980166,0.0
2022-05-13,0.0,0.07961194434118428,0.07961194434118428,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.17054502624435752,-0.07840003128870598,-0.18656217457536373,-0.10782143717477721,-0.0047364129986777,0.0
2022-05-16,0.0,0.07947689706668301,0.07947689706668301,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.17942948883674614,-0.07969289705133198,-0.19599146485854968,-0.11884025311251767,-0.0031576086657851997,0.0
2022-05-17,0.0,0.07934002343999613,0.07934002343999613,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.1575139522010639,-0.07997624071679521,-0.17516639837137116,-0.11578001448873287,-0.0021050724438567998,0.0
2022-05-18,0.0,0.07923063891626088,0.07923063891626088,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.1980515910063657,-0.08078667461165956,-0.21565775902650974,-0.14674259935863265,-0.0014033816292379,0.0
2022-05-19,0.0,0.07909802234076521,0.07909802234076521,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.20150812346215297,-0.08229948943683496,-0.2198605033282206,-0.1333831668719987,-0.0009355877528252,0.0
2022-05-20,0.0,0.07609898247062998,0.07609898247062998,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.20311477093351227,-0.08361933385350795,-0.22228524791169024,-0.11284587887889086,-0.0006237251685500819,0.0
2022-05-23,0.0,0.07346450428420292,0.07346450428420292,0.01,0.4736470416512832,0.0,risk_off,2022-03-31,oos_isotonic,1156.0,0.23636938650198755,0.05961955901778373,-0.189044803498857,-0.08437869791850061,-0.20935381139275433,-0.1095332437175468,-0.0004158167790333546,0.0
